no,admin1_bps_code,admin1_bps,status,date,sektor,title,source,type_source
1,11,ACEH,tutup,26 Juli 0202,perkantoran,Kemenag Aceh Tengah Terapkan Kebijakan WFH Bagi Seluruh ASN,https://aceh.kemenag.go.id/berita/515272/kemenag-aceh-tengah-terapkan-kebijakan-wfh-bagi-seluruh-asn,
2,11,ACEH,tutup,16 Maret 2020,pariwisata,"Antisipasi Penyebaran Corona, Pemko Banda Aceh Tutup Objek Wisata",https://news.detik.com/berita/d-4940778/antisipasi-penyebaran-corona-pemko-banda-aceh-tutup-objek-wisata,news
3,11,ACEH,tutup,17 Maret 2020,pariwisata,Aceh Mulai Tutup Tempat Wisata,https://www.republika.co.id/berita/q7cf8u463/aceh-mulai-tutup-tempat-wisata,news
4,11,ACEH,tutup,23 Maret 2020,perkantoran,"Mulai Hari Ini, Pegawai Eselon IV dan Noneselon Bekerja di Rumah",https://www.acehonline.co/news/mulai-hari-ini-pegawai-eselon-iv-dan-noneselon-bekerja-di-rumah/index.html,news
5,11,ACEH,tutup,24 Maret 2020,perkantoran,BPNB Aceh Resmi Menerapkan “Work From Home”,https://kebudayaan.kemdikbud.go.id/bpnbaceh/bpnb-aceh-resmi-menerapkan-work-from-home/,news
6,11,ACEH,tutup,26 Maret 2020,perkantoran,"Diperpanjang lagi, ASN Kemenag Aceh WFH hingga 4 Juni 2020",https://aceh.kemenag.go.id/berita/510335/diperpanjang-lagi-asn-kemenag-aceh-wfh-hingga-4-juni-2020,news
7,11,ACEH,tutup,27 Maret 2020,pasar,"Cegah Corona, Pasar Aceh Ditutup Selama 10 Hari",https://m.merdeka.com/peristiwa/cegah-corona-pasar-aceh-ditutup-selama-10-hari.html,news
8,11,ACEH,tutup,27 Maret 2020,pasar,"Mulai Hari ini, Pasar Aceh Ditutup",https://www.ajnn.net/news/mulai-hari-ini-pasar-aceh-ditutup/index.html,news
9,11,ACEH,buka,6 April 2020,pasar,Bupati Aceh Tengah Minta Pasar Tradisional Pekan Beroperasi Kembali,http://www.acehtengahkab.go.id/berita/kategori/ekonomi/bupati-aceh-tengah-minta-pasar-tradisional-pekan-beroperasi-kembali,news
10,11,ACEH,buka,8 April 2020,pasar,"Pasar Tani Aceh Terapkan Social Distance, Penyuluh Sosialisasi SOP Covid-19",https://www.swadayaonline.com/artikel/5729/Pasar-Tani-Aceh-Terapkan-Social-Distance-Penyuluh-Sosialisasi-SOP-Covid-19/,news
