date,admin1_bps_code,admin1_bps,cumulative_cases,cumulative_deaths,daily_hospitalizations,cases_measure,deaths_measure,hospitalizations_measure,link
03.26.2020,11,ACEH,1,0,1,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
03.27.2020,11,ACEH,4,0,4,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
03.28.2020,11,ACEH,5,0,5,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
03.29.2020,11,ACEH,5,0,5,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
03.30.2020,11,ACEH,5,0,5,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
03.31.2020,11,ACEH,5,0,5,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.01.2020,11,ACEH,5,0,5,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.02.2020,11,ACEH,5,0,5,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.03.2020,11,ACEH,5,0,5,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.04.2020,11,ACEH,5,0,5,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.05.2020,11,ACEH,5,0,5,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.06.2020,11,ACEH,5,0,5,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.07.2020,11,ACEH,5,0,5,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.08.2020,11,ACEH,5,0,5,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.09.2020,11,ACEH,5,0,4,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.10.2020,11,ACEH,5,0,4,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.11.2020,11,ACEH,5,0,4,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.12.2020,11,ACEH,5,0,4,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.13.2020,11,ACEH,5,0,2,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.14.2020,11,ACEH,5,0,2,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.15.2020,11,ACEH,5,0,2,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.16.2020,11,ACEH,5,0,2,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.17.2020,11,ACEH,5,0,2,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.18.2020,11,ACEH,6,0,3,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.19.2020,11,ACEH,7,0,4,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.20.2020,11,ACEH,7,0,4,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.21.2020,11,ACEH,7,0,4,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.22.2020,11,ACEH,7,0,4,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.23.2020,11,ACEH,7,1,3,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.24.2020,11,ACEH,8,1,4,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.25.2020,11,ACEH,9,1,5,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.26.2020,11,ACEH,9,1,5,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.27.2020,11,ACEH,9,1,4,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.28.2020,11,ACEH,9,1,3,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.29.2020,11,ACEH,9,1,2,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
04.30.2020,11,ACEH,10,1,3,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.01.2020,11,ACEH,11,1,4,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.02.2020,11,ACEH,11,1,4,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.03.2020,11,ACEH,12,1,3,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.04.2020,11,ACEH,12,1,3,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.05.2020,11,ACEH,12,1,3,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
