date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,1st_dose
01.13.2021,36,3601,BANTEN,KAB. PANDEGLANG,elderly,1
01.13.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
01.13.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,4
01.14.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,1
01.14.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,1
01.15.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,1
01.16.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
01.18.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,1
01.22.2021,36,3601,BANTEN,KAB. PANDEGLANG,age 12-17 yo,1
01.22.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,23
01.22.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,1
01.22.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,1
01.24.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,1
01.25.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
01.25.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,131
01.25.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,10
01.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
01.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
01.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,3
01.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,7
01.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,720
01.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,1
01.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,20
01.27.2021,36,3601,BANTEN,KAB. PANDEGLANG,elderly,1
01.27.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,2
01.27.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,2
01.27.2021,36,3601,BANTEN,KAB. PANDEGLANG,age 12-17 yo,1
01.27.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,166
01.27.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,12
01.28.2021,36,3601,BANTEN,KAB. PANDEGLANG,elderly,1
01.28.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,1
01.28.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,123
01.28.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,17
01.29.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,58
01.29.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,3
01.30.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
01.30.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,30
01.30.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,1
01.31.2021,36,3601,BANTEN,KAB. PANDEGLANG,children,1
01.31.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,9
02.01.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
02.01.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
02.01.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,98
02.01.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,4
02.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
02.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
02.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,116
02.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,3
02.03.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
02.03.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,88
02.04.2021,36,3601,BANTEN,KAB. PANDEGLANG,elderly,1
02.04.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,36
02.04.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,17
02.05.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
02.05.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,2
02.05.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,29
02.05.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,1
02.06.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,1
02.08.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
02.08.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
02.08.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,48
02.08.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,2
02.09.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,2
02.09.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
02.09.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,3
02.09.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
02.09.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,107
02.09.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,1
