date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,1st_dose,source
01.22.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
02.01.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,9,https://vaksin.kemkes.go.id/#/detail_data
02.01.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,421,https://vaksin.kemkes.go.id/#/detail_data
02.02.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,237,https://vaksin.kemkes.go.id/#/detail_data
02.03.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,78,https://vaksin.kemkes.go.id/#/detail_data
02.04.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,29,https://vaksin.kemkes.go.id/#/detail_data
02.05.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.05.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,2,https://vaksin.kemkes.go.id/#/detail_data
02.06.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
02.07.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,6,https://vaksin.kemkes.go.id/#/detail_data
02.07.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,44,https://vaksin.kemkes.go.id/#/detail_data
02.08.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,31,https://vaksin.kemkes.go.id/#/detail_data
02.09.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,2,https://vaksin.kemkes.go.id/#/detail_data
02.11.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
02.13.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,3,https://vaksin.kemkes.go.id/#/detail_data
02.13.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,28,https://vaksin.kemkes.go.id/#/detail_data
02.15.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,2,https://vaksin.kemkes.go.id/#/detail_data
02.15.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,42,https://vaksin.kemkes.go.id/#/detail_data
02.16.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,18,https://vaksin.kemkes.go.id/#/detail_data
02.16.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,30,https://vaksin.kemkes.go.id/#/detail_data
02.17.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,29,https://vaksin.kemkes.go.id/#/detail_data
02.17.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,40,https://vaksin.kemkes.go.id/#/detail_data
02.18.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,3,https://vaksin.kemkes.go.id/#/detail_data
02.18.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,2,https://vaksin.kemkes.go.id/#/detail_data
02.19.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.19.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.20.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,4,https://vaksin.kemkes.go.id/#/detail_data
02.20.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,16,https://vaksin.kemkes.go.id/#/detail_data
02.21.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.21.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.22.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,3,https://vaksin.kemkes.go.id/#/detail_data
02.22.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
02.22.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,27,https://vaksin.kemkes.go.id/#/detail_data
02.23.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,9,https://vaksin.kemkes.go.id/#/detail_data
02.23.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,31,https://vaksin.kemkes.go.id/#/detail_data
02.24.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.24.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.25.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.25.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
02.25.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,20,https://vaksin.kemkes.go.id/#/detail_data
02.26.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,4,https://vaksin.kemkes.go.id/#/detail_data
02.26.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,11,https://vaksin.kemkes.go.id/#/detail_data
02.27.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,7,https://vaksin.kemkes.go.id/#/detail_data
02.27.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,14,https://vaksin.kemkes.go.id/#/detail_data
03.01.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
03.01.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,26,https://vaksin.kemkes.go.id/#/detail_data
03.01.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
03.01.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,public servant,2,https://vaksin.kemkes.go.id/#/detail_data
03.01.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,6,https://vaksin.kemkes.go.id/#/detail_data
03.02.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
03.02.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,15,https://vaksin.kemkes.go.id/#/detail_data
03.03.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,11,https://vaksin.kemkes.go.id/#/detail_data
03.03.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,public servant,5,https://vaksin.kemkes.go.id/#/detail_data
03.03.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,17,https://vaksin.kemkes.go.id/#/detail_data
03.04.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,17,https://vaksin.kemkes.go.id/#/detail_data
