date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,1st_dose,source
01.22.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
01.26.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
01.28.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
01.29.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,general and vulnerable,7,https://vaksin.kemkes.go.id/#/detail_data
01.29.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,healthcare worker,10,https://vaksin.kemkes.go.id/#/detail_data
01.31.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.01.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,healthcare worker,28,https://vaksin.kemkes.go.id/#/detail_data
02.02.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,general and vulnerable,4,https://vaksin.kemkes.go.id/#/detail_data
02.02.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
02.02.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,healthcare worker,501,https://vaksin.kemkes.go.id/#/detail_data
02.03.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,general and vulnerable,3,https://vaksin.kemkes.go.id/#/detail_data
02.03.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.03.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
02.03.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,healthcare worker,509,https://vaksin.kemkes.go.id/#/detail_data
02.04.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,general and vulnerable,10,https://vaksin.kemkes.go.id/#/detail_data
02.04.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
02.04.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
02.04.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,healthcare worker,547,https://vaksin.kemkes.go.id/#/detail_data
02.05.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,general and vulnerable,3,https://vaksin.kemkes.go.id/#/detail_data
02.05.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,healthcare worker,373,https://vaksin.kemkes.go.id/#/detail_data
02.06.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,general and vulnerable,3,https://vaksin.kemkes.go.id/#/detail_data
02.06.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,healthcare worker,325,https://vaksin.kemkes.go.id/#/detail_data
02.08.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,healthcare worker,54,https://vaksin.kemkes.go.id/#/detail_data
02.09.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,general and vulnerable,3,https://vaksin.kemkes.go.id/#/detail_data
02.09.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,healthcare worker,47,https://vaksin.kemkes.go.id/#/detail_data
02.10.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.10.2021,34,3401,DI YOGYAKARTA,KAB. KULON PROGO,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
