date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,1st_dose,source
01.22.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
01.28.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
01.29.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
02.04.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,6,https://vaksin.kemkes.go.id/#/detail_data
02.04.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
02.05.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,2,https://vaksin.kemkes.go.id/#/detail_data
02.05.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,207,https://vaksin.kemkes.go.id/#/detail_data
02.06.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,104,https://vaksin.kemkes.go.id/#/detail_data
02.08.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.08.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,107,https://vaksin.kemkes.go.id/#/detail_data
02.09.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.09.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,50,https://vaksin.kemkes.go.id/#/detail_data
02.10.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.10.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,69,https://vaksin.kemkes.go.id/#/detail_data
02.11.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,2,https://vaksin.kemkes.go.id/#/detail_data
02.11.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,3,https://vaksin.kemkes.go.id/#/detail_data
02.11.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,43,https://vaksin.kemkes.go.id/#/detail_data
02.13.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
02.15.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,64,https://vaksin.kemkes.go.id/#/detail_data
02.16.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,2,https://vaksin.kemkes.go.id/#/detail_data
02.16.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
02.16.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,69,https://vaksin.kemkes.go.id/#/detail_data
02.17.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.17.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,43,https://vaksin.kemkes.go.id/#/detail_data
02.18.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.18.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,6,https://vaksin.kemkes.go.id/#/detail_data
02.19.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,3,https://vaksin.kemkes.go.id/#/detail_data
02.19.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,61,https://vaksin.kemkes.go.id/#/detail_data
02.20.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,15,https://vaksin.kemkes.go.id/#/detail_data
02.22.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.22.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,5,https://vaksin.kemkes.go.id/#/detail_data
02.23.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,2,https://vaksin.kemkes.go.id/#/detail_data
02.23.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,25,https://vaksin.kemkes.go.id/#/detail_data
02.24.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.24.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,7,https://vaksin.kemkes.go.id/#/detail_data
02.25.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.25.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
02.26.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
02.27.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,6,https://vaksin.kemkes.go.id/#/detail_data
03.01.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
03.01.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,3,https://vaksin.kemkes.go.id/#/detail_data
03.02.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
03.02.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
03.02.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,7,https://vaksin.kemkes.go.id/#/detail_data
03.03.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
03.03.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,16,https://vaksin.kemkes.go.id/#/detail_data
03.04.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,3,https://vaksin.kemkes.go.id/#/detail_data
03.05.2021,75,7501,GORONTALO,KAB. BOALEMO,elderly,1,https://vaksin.kemkes.go.id/#/detail_data
03.05.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
03.05.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
03.06.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
03.06.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
03.06.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,2,https://vaksin.kemkes.go.id/#/detail_data
03.07.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
03.08.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
03.09.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,128,https://vaksin.kemkes.go.id/#/detail_data
03.09.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
03.09.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,2,https://vaksin.kemkes.go.id/#/detail_data
03.09.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
03.09.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,19,https://vaksin.kemkes.go.id/#/detail_data
03.09.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
03.10.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,193,https://vaksin.kemkes.go.id/#/detail_data
03.10.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,30,https://vaksin.kemkes.go.id/#/detail_data
03.10.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,16,https://vaksin.kemkes.go.id/#/detail_data
03.10.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,2,https://vaksin.kemkes.go.id/#/detail_data
03.10.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,4,https://vaksin.kemkes.go.id/#/detail_data
03.11.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
03.11.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
03.12.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,34,https://vaksin.kemkes.go.id/#/detail_data
03.12.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,6,https://vaksin.kemkes.go.id/#/detail_data
03.12.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,2,https://vaksin.kemkes.go.id/#/detail_data
03.13.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
03.15.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
03.15.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
03.16.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
03.16.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
03.16.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,4,https://vaksin.kemkes.go.id/#/detail_data
03.17.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,22,https://vaksin.kemkes.go.id/#/detail_data
03.17.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,10,https://vaksin.kemkes.go.id/#/detail_data
03.17.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
03.17.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
03.17.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,5,https://vaksin.kemkes.go.id/#/detail_data
03.18.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
03.19.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
03.19.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
03.20.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
03.21.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
03.22.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,64,https://vaksin.kemkes.go.id/#/detail_data
03.22.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
03.22.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,27,https://vaksin.kemkes.go.id/#/detail_data
03.22.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,3,https://vaksin.kemkes.go.id/#/detail_data
03.22.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,13,https://vaksin.kemkes.go.id/#/detail_data
03.23.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,18,https://vaksin.kemkes.go.id/#/detail_data
03.23.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,2,https://vaksin.kemkes.go.id/#/detail_data
03.23.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
03.23.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,6,https://vaksin.kemkes.go.id/#/detail_data
03.24.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
03.24.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,4,https://vaksin.kemkes.go.id/#/detail_data
03.24.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,5,https://vaksin.kemkes.go.id/#/detail_data
03.24.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,8,https://vaksin.kemkes.go.id/#/detail_data
03.24.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
03.24.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,10,https://vaksin.kemkes.go.id/#/detail_data
03.25.2021,75,7501,GORONTALO,KAB. BOALEMO,elderly,1,https://vaksin.kemkes.go.id/#/detail_data
03.25.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,86,https://vaksin.kemkes.go.id/#/detail_data
03.25.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,7,https://vaksin.kemkes.go.id/#/detail_data
03.25.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,104,https://vaksin.kemkes.go.id/#/detail_data
03.25.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
03.25.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,18,https://vaksin.kemkes.go.id/#/detail_data
03.25.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,10,https://vaksin.kemkes.go.id/#/detail_data
03.26.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,54,https://vaksin.kemkes.go.id/#/detail_data
03.26.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
03.26.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,3,https://vaksin.kemkes.go.id/#/detail_data
03.26.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
03.26.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,97,https://vaksin.kemkes.go.id/#/detail_data
03.26.2021,75,7501,GORONTALO,KAB. BOALEMO,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
03.26.2021,75,7501,GORONTALO,KAB. BOALEMO,healthcare worker,12,https://vaksin.kemkes.go.id/#/detail_data
03.29.2021,75,7501,GORONTALO,KAB. BOALEMO,elderly,13,https://vaksin.kemkes.go.id/#/detail_data
03.29.2021,75,7501,GORONTALO,KAB. BOALEMO,general and vulnerable,35,https://vaksin.kemkes.go.id/#/detail_data
