date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,1st_dose
01.14.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,1
01.22.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,1
01.28.2021,15,1501,JAMBI,KAB. KERINCI,elderly,1
01.29.2021,15,1501,JAMBI,KAB. KERINCI,elderly,1
02.02.2021,15,1501,JAMBI,KAB. KERINCI,public servant,1
02.02.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,1
02.02.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,1
02.04.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,27
02.05.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,332
02.05.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,11
02.06.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,211
02.06.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,10
02.08.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,6
02.08.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,1
02.09.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,4
02.09.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,1
02.10.2021,15,1501,JAMBI,KAB. KERINCI,public servant,1
02.10.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,5
02.10.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,2
02.11.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,7
02.15.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,9
02.15.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,7
02.16.2021,15,1501,JAMBI,KAB. KERINCI,public servant,1
02.16.2021,15,1501,JAMBI,KAB. KERINCI,public servant,0
02.16.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,0
02.17.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,8
02.17.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,2
02.18.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,2
