date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,1st_dose,source
02.02.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,11,https://vaksin.kemkes.go.id/#/detail_data
02.05.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,7,https://vaksin.kemkes.go.id/#/detail_data
02.08.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
02.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,2,https://vaksin.kemkes.go.id/#/detail_data
02.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,8,https://vaksin.kemkes.go.id/#/detail_data
02.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,2,https://vaksin.kemkes.go.id/#/detail_data
02.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
02.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
02.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,186,https://vaksin.kemkes.go.id/#/detail_data
02.10.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,14,https://vaksin.kemkes.go.id/#/detail_data
02.10.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
02.10.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,3,https://vaksin.kemkes.go.id/#/detail_data
02.10.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,251,https://vaksin.kemkes.go.id/#/detail_data
02.11.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,2,https://vaksin.kemkes.go.id/#/detail_data
02.11.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,135,https://vaksin.kemkes.go.id/#/detail_data
02.12.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,6,https://vaksin.kemkes.go.id/#/detail_data
02.13.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.13.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,62,https://vaksin.kemkes.go.id/#/detail_data
02.15.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,3,https://vaksin.kemkes.go.id/#/detail_data
02.15.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,95,https://vaksin.kemkes.go.id/#/detail_data
02.16.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,4,https://vaksin.kemkes.go.id/#/detail_data
02.16.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,77,https://vaksin.kemkes.go.id/#/detail_data
02.17.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,7,https://vaksin.kemkes.go.id/#/detail_data
02.17.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,84,https://vaksin.kemkes.go.id/#/detail_data
02.18.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,3,https://vaksin.kemkes.go.id/#/detail_data
02.19.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,2,https://vaksin.kemkes.go.id/#/detail_data
02.19.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,7,https://vaksin.kemkes.go.id/#/detail_data
02.20.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
02.22.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,2,https://vaksin.kemkes.go.id/#/detail_data
02.22.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
02.23.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.23.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,22,https://vaksin.kemkes.go.id/#/detail_data
02.24.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,2,https://vaksin.kemkes.go.id/#/detail_data
02.24.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,48,https://vaksin.kemkes.go.id/#/detail_data
02.25.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.25.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,7,https://vaksin.kemkes.go.id/#/detail_data
02.26.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.27.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,3,https://vaksin.kemkes.go.id/#/detail_data
02.27.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,5,https://vaksin.kemkes.go.id/#/detail_data
03.01.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,3,https://vaksin.kemkes.go.id/#/detail_data
03.01.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,8,https://vaksin.kemkes.go.id/#/detail_data
03.02.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
03.02.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,5,https://vaksin.kemkes.go.id/#/detail_data
03.03.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
03.03.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,2,https://vaksin.kemkes.go.id/#/detail_data
03.04.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,2,https://vaksin.kemkes.go.id/#/detail_data
03.05.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
03.05.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,5,https://vaksin.kemkes.go.id/#/detail_data
03.06.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
03.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,elderly,3,https://vaksin.kemkes.go.id/#/detail_data
03.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
03.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,22,https://vaksin.kemkes.go.id/#/detail_data
03.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
03.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,2,https://vaksin.kemkes.go.id/#/detail_data
03.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
03.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
03.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,5,https://vaksin.kemkes.go.id/#/detail_data
03.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,3,https://vaksin.kemkes.go.id/#/detail_data
03.10.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,elderly,1,https://vaksin.kemkes.go.id/#/detail_data
03.10.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,55,https://vaksin.kemkes.go.id/#/detail_data
03.10.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,2,https://vaksin.kemkes.go.id/#/detail_data
03.10.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,9,https://vaksin.kemkes.go.id/#/detail_data
03.10.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,5,https://vaksin.kemkes.go.id/#/detail_data
03.10.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
03.10.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,29,https://vaksin.kemkes.go.id/#/detail_data
03.11.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
03.12.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
03.13.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,13,https://vaksin.kemkes.go.id/#/detail_data
03.13.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,3,https://vaksin.kemkes.go.id/#/detail_data
03.15.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,elderly,1,https://vaksin.kemkes.go.id/#/detail_data
03.15.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,14,https://vaksin.kemkes.go.id/#/detail_data
03.15.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
03.15.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,2,https://vaksin.kemkes.go.id/#/detail_data
03.15.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
03.16.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,22,https://vaksin.kemkes.go.id/#/detail_data
03.16.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
03.16.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
