date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,1st_dose,source
01.13.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
01.14.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,2,https://vaksin.kemkes.go.id/#/detail_data
01.15.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,14,https://vaksin.kemkes.go.id/#/detail_data
01.15.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,97,https://vaksin.kemkes.go.id/#/detail_data
01.16.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,28,https://vaksin.kemkes.go.id/#/detail_data
01.17.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
01.18.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
01.18.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,217,https://vaksin.kemkes.go.id/#/detail_data
01.19.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
01.19.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,87,https://vaksin.kemkes.go.id/#/detail_data
01.20.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,114,https://vaksin.kemkes.go.id/#/detail_data
01.21.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,2,https://vaksin.kemkes.go.id/#/detail_data
01.21.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
01.21.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,298,https://vaksin.kemkes.go.id/#/detail_data
01.22.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,2,https://vaksin.kemkes.go.id/#/detail_data
01.22.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,187,https://vaksin.kemkes.go.id/#/detail_data
01.23.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
