date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,1st_dose,source
01.24.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
01.29.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,5,https://vaksin.kemkes.go.id/#/detail_data
01.29.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,10,https://vaksin.kemkes.go.id/#/detail_data
01.30.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,17,https://vaksin.kemkes.go.id/#/detail_data
01.31.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,43,https://vaksin.kemkes.go.id/#/detail_data
02.01.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,3,https://vaksin.kemkes.go.id/#/detail_data
02.01.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,207,https://vaksin.kemkes.go.id/#/detail_data
02.02.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,4,https://vaksin.kemkes.go.id/#/detail_data
02.02.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,315,https://vaksin.kemkes.go.id/#/detail_data
02.03.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,5,https://vaksin.kemkes.go.id/#/detail_data
02.03.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,210,https://vaksin.kemkes.go.id/#/detail_data
02.04.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,4,https://vaksin.kemkes.go.id/#/detail_data
02.04.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,215,https://vaksin.kemkes.go.id/#/detail_data
02.05.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.05.2021,21,2101,KEP. RIAU,KAB. KARIMUN,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
02.05.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,149,https://vaksin.kemkes.go.id/#/detail_data
