date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,1st_dose
01.24.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,1
01.27.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,3
01.27.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,6
01.28.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,2
01.28.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,59
01.29.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,1
01.29.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,43
01.30.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,1
01.30.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,29
02.01.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,2
02.01.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,33
02.02.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,1
02.02.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,32
02.03.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,5
02.03.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,68
02.04.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,32
02.05.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,2
02.05.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,public servant,1
02.05.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,27
02.06.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,21
02.08.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,1
02.10.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,0
02.10.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,healthcare worker,1
02.11.2021,81,8101,MALUKU,KAB. KEPULAUAN TANIMBAR,general and vulnerable,0
