date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,1st_dose,source
02.01.2021,91,9101,PAPUA BARAT,KAB. FAK FAK,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.01.2021,91,9101,PAPUA BARAT,KAB. FAK FAK,general and vulnerable,8,https://vaksin.kemkes.go.id/#/detail_data
02.01.2021,91,9101,PAPUA BARAT,KAB. FAK FAK,public servant,2,https://vaksin.kemkes.go.id/#/detail_data
02.01.2021,91,9101,PAPUA BARAT,KAB. FAK FAK,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
02.01.2021,91,9101,PAPUA BARAT,KAB. FAK FAK,healthcare worker,75,https://vaksin.kemkes.go.id/#/detail_data
02.02.2021,91,9101,PAPUA BARAT,KAB. FAK FAK,general and vulnerable,8,https://vaksin.kemkes.go.id/#/detail_data
02.02.2021,91,9101,PAPUA BARAT,KAB. FAK FAK,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
02.02.2021,91,9101,PAPUA BARAT,KAB. FAK FAK,healthcare worker,84,https://vaksin.kemkes.go.id/#/detail_data
02.03.2021,91,9101,PAPUA BARAT,KAB. FAK FAK,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.03.2021,91,9101,PAPUA BARAT,KAB. FAK FAK,general and vulnerable,6,https://vaksin.kemkes.go.id/#/detail_data
02.03.2021,91,9101,PAPUA BARAT,KAB. FAK FAK,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
02.03.2021,91,9101,PAPUA BARAT,KAB. FAK FAK,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
02.03.2021,91,9101,PAPUA BARAT,KAB. FAK FAK,healthcare worker,90,https://vaksin.kemkes.go.id/#/detail_data
02.04.2021,91,9101,PAPUA BARAT,KAB. FAK FAK,general and vulnerable,3,https://vaksin.kemkes.go.id/#/detail_data
02.04.2021,91,9101,PAPUA BARAT,KAB. FAK FAK,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
02.04.2021,91,9101,PAPUA BARAT,KAB. FAK FAK,healthcare worker,68,https://vaksin.kemkes.go.id/#/detail_data
02.06.2021,91,9101,PAPUA BARAT,KAB. FAK FAK,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
02.06.2021,91,9101,PAPUA BARAT,KAB. FAK FAK,healthcare worker,32,https://vaksin.kemkes.go.id/#/detail_data
02.07.2021,91,9101,PAPUA BARAT,KAB. FAK FAK,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
02.08.2021,91,9101,PAPUA BARAT,KAB. FAK FAK,general and vulnerable,12,https://vaksin.kemkes.go.id/#/detail_data
