date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,1st_dose
01.30.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,1
02.01.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,3
02.01.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,2
02.03.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,20
02.03.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,12
02.04.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,196
02.04.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,13
02.05.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,274
02.05.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,17
02.06.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,113
02.06.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,6
02.07.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,1
02.08.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,67
02.08.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,3
02.09.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,78
02.09.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,2
02.10.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,63
02.10.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,5
02.11.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,1
02.13.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,17
02.13.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,3
02.15.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,47
02.15.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,4
02.16.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,11
02.16.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,4
02.17.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,0
02.17.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
02.18.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,12
02.18.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,1
02.19.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,12
02.19.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,12
