date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,1st_dose,source
02.10.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,9,https://vaksin.kemkes.go.id/#/detail_data
02.10.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
02.10.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,226,https://vaksin.kemkes.go.id/#/detail_data
02.11.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,4,https://vaksin.kemkes.go.id/#/detail_data
02.11.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,2,https://vaksin.kemkes.go.id/#/detail_data
02.11.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,219,https://vaksin.kemkes.go.id/#/detail_data
02.12.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,2,https://vaksin.kemkes.go.id/#/detail_data
02.12.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.12.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
02.12.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,266,https://vaksin.kemkes.go.id/#/detail_data
02.14.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
02.15.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.15.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,125,https://vaksin.kemkes.go.id/#/detail_data
02.16.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.16.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,27,https://vaksin.kemkes.go.id/#/detail_data
02.17.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,2,https://vaksin.kemkes.go.id/#/detail_data
02.17.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,26,https://vaksin.kemkes.go.id/#/detail_data
02.18.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,2,https://vaksin.kemkes.go.id/#/detail_data
02.18.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,5,https://vaksin.kemkes.go.id/#/detail_data
02.19.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,4,https://vaksin.kemkes.go.id/#/detail_data
02.19.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,14,https://vaksin.kemkes.go.id/#/detail_data
02.20.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,2,https://vaksin.kemkes.go.id/#/detail_data
02.22.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,6,https://vaksin.kemkes.go.id/#/detail_data
02.22.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,2,https://vaksin.kemkes.go.id/#/detail_data
02.22.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,32,https://vaksin.kemkes.go.id/#/detail_data
02.23.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,5,https://vaksin.kemkes.go.id/#/detail_data
02.24.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,4,https://vaksin.kemkes.go.id/#/detail_data
02.24.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,public servant,1,https://vaksin.kemkes.go.id/#/detail_data
02.24.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,17,https://vaksin.kemkes.go.id/#/detail_data
02.25.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,4,https://vaksin.kemkes.go.id/#/detail_data
02.25.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.25.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,18,https://vaksin.kemkes.go.id/#/detail_data
02.26.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.26.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,9,https://vaksin.kemkes.go.id/#/detail_data
03.01.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
03.01.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,14,https://vaksin.kemkes.go.id/#/detail_data
03.02.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,28,https://vaksin.kemkes.go.id/#/detail_data
03.03.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,5,https://vaksin.kemkes.go.id/#/detail_data
03.03.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,6,https://vaksin.kemkes.go.id/#/detail_data
03.04.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
03.04.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,9,https://vaksin.kemkes.go.id/#/detail_data
03.05.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
03.05.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,12,https://vaksin.kemkes.go.id/#/detail_data
03.06.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
03.06.2021,76,7601,SULAWESI BARAT,KAB. MAJENE,healthcare worker,10,https://vaksin.kemkes.go.id/#/detail_data
