date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,1st_dose
02.03.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,5
02.03.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,2
02.05.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,7
02.10.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,35
02.10.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,1
02.11.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,173
02.11.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,1
02.12.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,24
02.12.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,2
02.13.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,23
02.13.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,1
02.15.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,278
02.15.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,3
02.16.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,38
02.16.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,4
02.17.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,3
02.17.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,2
02.18.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,2
02.18.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,3
02.19.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,8
02.22.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,1
02.23.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,1
02.24.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,1
02.24.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,2
02.25.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,22
02.25.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,1
02.26.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,3
02.26.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
02.27.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,0
02.27.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
03.01.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,9
03.01.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
03.02.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,5
03.02.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
03.03.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,0
03.03.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
03.04.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,5
