date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,2nd_dose
01.13.2021,36,3601,BANTEN,KAB. PANDEGLANG,elderly,0
01.13.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
01.13.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.14.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
01.14.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.15.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.16.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
01.18.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.22.2021,36,3601,BANTEN,KAB. PANDEGLANG,age 12-17 yo,0
01.22.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
01.22.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.22.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.24.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,1
01.25.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
01.25.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,1
01.25.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
01.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
01.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
01.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
01.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,1
01.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.27.2021,36,3601,BANTEN,KAB. PANDEGLANG,elderly,0
01.27.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
01.27.2021,36,3601,BANTEN,KAB. PANDEGLANG,age 12-17 yo,0
01.27.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
01.27.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
01.27.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.28.2021,36,3601,BANTEN,KAB. PANDEGLANG,elderly,0
01.28.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,1
01.28.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.28.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
01.29.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,1
01.29.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.30.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
01.30.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
01.30.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.31.2021,36,3601,BANTEN,KAB. PANDEGLANG,children,0
01.31.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.01.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.01.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.01.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.01.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.03.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.03.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.04.2021,36,3601,BANTEN,KAB. PANDEGLANG,elderly,0
02.04.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.04.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.05.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.05.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.05.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.05.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.06.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.08.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.08.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
02.08.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,62
02.08.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,1
02.09.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.09.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.09.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.09.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.09.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,513
02.09.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,12
02.09.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.10.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
02.10.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,2
02.10.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,158
02.10.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,3
02.11.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.11.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,11
02.11.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,131
02.12.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,4
02.12.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,1
02.13.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
02.13.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,24
02.14.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,9
02.15.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
02.15.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,98
02.15.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,2
02.16.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,118
02.16.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,2
02.16.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.17.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.17.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,81
02.17.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,1
02.18.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.18.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.18.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.18.2021,36,3601,BANTEN,KAB. PANDEGLANG,age 12-17 yo,0
02.18.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,26
02.18.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,1
02.19.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
02.19.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,40
02.19.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,1
02.20.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,8
02.22.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
02.22.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
02.22.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,48
02.22.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,3
02.23.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
02.23.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
02.23.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.23.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.23.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,2
02.23.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,84
02.23.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,23
02.24.2021,36,3601,BANTEN,KAB. PANDEGLANG,elderly,1
02.24.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
02.24.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,10
02.24.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,57
02.25.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.25.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.25.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
02.25.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,33
02.25.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,3
02.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
02.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,8
02.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,2
02.27.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.27.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
02.27.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,4
02.28.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
02.28.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,2
03.01.2021,36,3601,BANTEN,KAB. PANDEGLANG,children,0
03.01.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,2
03.01.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,5
03.01.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,3
03.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
03.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
03.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
03.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
03.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
03.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
03.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,10
03.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
03.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,5
03.03.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
03.03.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
03.03.2021,36,3601,BANTEN,KAB. PANDEGLANG,elderly,0
03.03.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
03.03.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
03.03.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,1
03.03.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
