date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,2nd_dose,source
01.22.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.01.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.01.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.02.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.03.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.04.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.05.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.05.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.06.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.07.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.07.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.08.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.09.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.11.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.13.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.13.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.15.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,6,https://vaksin.kemkes.go.id/#/detail_data
02.15.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,324,https://vaksin.kemkes.go.id/#/detail_data
02.16.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.16.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,243,https://vaksin.kemkes.go.id/#/detail_data
02.17.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.17.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,90,https://vaksin.kemkes.go.id/#/detail_data
02.18.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.18.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,28,https://vaksin.kemkes.go.id/#/detail_data
02.19.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.19.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,2,https://vaksin.kemkes.go.id/#/detail_data
02.20.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.20.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,4,https://vaksin.kemkes.go.id/#/detail_data
02.21.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,2,https://vaksin.kemkes.go.id/#/detail_data
02.21.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
02.22.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.22.2021,17,1701,BENGKULU,KAB. BENGKULU SELATAN,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
