date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,2nd_dose
01.14.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,0
01.22.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,0
01.28.2021,15,1501,JAMBI,KAB. KERINCI,elderly,0
01.29.2021,15,1501,JAMBI,KAB. KERINCI,elderly,0
02.02.2021,15,1501,JAMBI,KAB. KERINCI,public servant,0
02.02.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,0
02.02.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,0
02.04.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,0
02.05.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,0
02.05.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,0
02.06.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,0
02.06.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,1
02.08.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,0
02.08.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,0
02.09.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,0
02.09.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,0
02.10.2021,15,1501,JAMBI,KAB. KERINCI,public servant,0
02.10.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,0
02.10.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,0
02.11.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,0
02.15.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,0
02.15.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,0
02.16.2021,15,1501,JAMBI,KAB. KERINCI,public servant,1
02.16.2021,15,1501,JAMBI,KAB. KERINCI,public servant,0
02.16.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,1
02.17.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,0
02.17.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,0
02.18.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,1
02.19.2021,15,1501,JAMBI,KAB. KERINCI,public servant,0
02.19.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,7
02.19.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,227
02.20.2021,15,1501,JAMBI,KAB. KERINCI,children,0
02.20.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,165
02.20.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,7
02.21.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,0
02.22.2021,15,1501,JAMBI,KAB. KERINCI,healthcare worker,26
02.22.2021,15,1501,JAMBI,KAB. KERINCI,general and vulnerable,1
