date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,2nd_dose,source
01.24.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
01.29.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
01.29.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
01.30.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
01.31.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.01.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.01.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.02.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.02.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
02.03.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.03.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.04.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.04.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.05.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.05.2021,21,2101,KEP. RIAU,KAB. KARIMUN,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
02.05.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.06.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.06.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.07.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.07.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.10.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.11.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.12.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,8,https://vaksin.kemkes.go.id/#/detail_data
02.13.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,4,https://vaksin.kemkes.go.id/#/detail_data
02.13.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,18,https://vaksin.kemkes.go.id/#/detail_data
02.14.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,38,https://vaksin.kemkes.go.id/#/detail_data
02.15.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.15.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,159,https://vaksin.kemkes.go.id/#/detail_data
02.16.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.16.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,243,https://vaksin.kemkes.go.id/#/detail_data
02.17.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,7,https://vaksin.kemkes.go.id/#/detail_data
02.17.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,235,https://vaksin.kemkes.go.id/#/detail_data
02.18.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.18.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,207,https://vaksin.kemkes.go.id/#/detail_data
02.19.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,2,https://vaksin.kemkes.go.id/#/detail_data
02.19.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,144,https://vaksin.kemkes.go.id/#/detail_data
02.20.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,168,https://vaksin.kemkes.go.id/#/detail_data
02.22.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,2,https://vaksin.kemkes.go.id/#/detail_data
02.22.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,48,https://vaksin.kemkes.go.id/#/detail_data
02.23.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
02.24.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,4,https://vaksin.kemkes.go.id/#/detail_data
02.25.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,123,https://vaksin.kemkes.go.id/#/detail_data
02.26.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,3,https://vaksin.kemkes.go.id/#/detail_data
02.27.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
02.27.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,6,https://vaksin.kemkes.go.id/#/detail_data
03.01.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
03.01.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,6,https://vaksin.kemkes.go.id/#/detail_data
03.02.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,4,https://vaksin.kemkes.go.id/#/detail_data
03.02.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,11,https://vaksin.kemkes.go.id/#/detail_data
03.03.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,1,https://vaksin.kemkes.go.id/#/detail_data
03.03.2021,21,2101,KEP. RIAU,KAB. KARIMUN,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
03.03.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,50,https://vaksin.kemkes.go.id/#/detail_data
03.04.2021,21,2101,KEP. RIAU,KAB. KARIMUN,elderly,0,https://vaksin.kemkes.go.id/#/detail_data
03.04.2021,21,2101,KEP. RIAU,KAB. KARIMUN,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
03.04.2021,21,2101,KEP. RIAU,KAB. KARIMUN,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
03.04.2021,21,2101,KEP. RIAU,KAB. KARIMUN,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
03.04.2021,21,2101,KEP. RIAU,KAB. KARIMUN,healthcare worker,17,https://vaksin.kemkes.go.id/#/detail_data
