date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,2nd_dose
01.30.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,0
02.01.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,0
02.01.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
02.03.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,0
02.03.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
02.04.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,0
02.04.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
02.05.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,0
02.05.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
02.06.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,0
02.06.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
02.07.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,0
02.08.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,0
02.08.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
02.09.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,0
02.09.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
02.10.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,0
02.10.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
02.11.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,0
02.13.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,0
02.13.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
02.15.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,0
02.15.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
02.16.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,0
02.16.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
02.17.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,21
02.17.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,12
02.18.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,174
02.18.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,12
02.19.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,248
02.19.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,13
02.20.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,103
02.20.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,6
02.21.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,1
02.22.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,70
02.22.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,3
02.23.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,66
02.23.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,3
02.24.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,65
02.24.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,5
02.25.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,11
02.26.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,6
02.27.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,3
02.27.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,16
03.01.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,47
03.01.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,4
03.02.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.02.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.02.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,10
03.02.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,4
03.03.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.03.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.03.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.03.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,1
03.03.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
03.04.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.04.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.04.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.04.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.04.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.04.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,15
03.04.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,1
03.05.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,elderly,0
03.05.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.05.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.05.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.05.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.05.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.05.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,14
03.05.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,5
03.06.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,elderly,0
03.06.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.06.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,7
03.06.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
03.08.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,elderly,0
03.08.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.08.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.08.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,2
03.08.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,1
03.09.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,elderly,0
03.09.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.09.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.09.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.09.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.09.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.09.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.09.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,0
03.09.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
03.09.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
03.10.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,elderly,0
03.10.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.10.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.10.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.10.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,2
03.10.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
03.12.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.12.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,elderly,0
03.12.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.12.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.12.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.12.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,0
03.12.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,1
03.12.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
03.12.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
03.15.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.15.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,1
03.15.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
03.15.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.16.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.16.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,2
03.16.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
03.16.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.17.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,46
03.17.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,2
03.17.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,26
03.18.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,1
03.18.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,168
03.18.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,2
03.18.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.18.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.18.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,147
03.18.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.19.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,1
03.19.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,62
03.19.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,2
03.19.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,2
03.19.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,84
03.20.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.20.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,56
03.20.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,3
03.20.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.20.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,elderly,0
03.20.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,113
03.20.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
03.22.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,2
03.22.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,27
03.22.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,2
03.22.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.22.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,9
03.22.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.22.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.22.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
03.22.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,elderly,0
03.22.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,2
03.22.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,137
03.23.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,21
03.23.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,9
03.23.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.23.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.23.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,8
03.23.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,1
03.23.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,2
03.23.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,334
03.23.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,2
03.23.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,2
03.23.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,1
03.23.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,1
03.23.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,elderly,0
03.23.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,14
03.24.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,19
03.24.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,6
03.24.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,1
03.24.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.24.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,12
03.24.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.24.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,1
03.24.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,360
03.24.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.24.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
03.24.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.24.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
03.24.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,elderly,0
03.24.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,12
03.25.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,0
03.25.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.25.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,1
03.25.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.25.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.25.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.25.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.25.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,11
03.25.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
03.25.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,elderly,0
03.25.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,0
03.25.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,1
03.26.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.26.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,9
03.26.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,5
03.26.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,1
03.26.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,1
03.26.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,1
03.26.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,87
03.26.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.26.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,1
03.26.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,elderly,0
03.26.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,4
03.26.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,3
03.27.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.27.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.27.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,0
03.27.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.27.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.27.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
03.27.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,elderly,0
03.29.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,8
03.29.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,2
03.29.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.29.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.29.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,19
03.29.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,1
03.29.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,0
03.29.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,elderly,0
03.29.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.30.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,2
03.30.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,2
03.30.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.30.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.30.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,14
03.30.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.30.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,elderly,0
03.30.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,5
03.31.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,0
03.31.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.31.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
03.31.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,1
03.31.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
04.01.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,9
04.01.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,11
04.03.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,2
04.03.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,0
04.03.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,general and vulnerable,19
04.05.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
04.05.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,36
04.05.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,healthcare worker,6
04.05.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,11
04.05.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,3
04.05.2021,14,1401,RIAU,KAB. KUANTAN SINGINGI,public servant,0
