date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,2nd_dose
02.03.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,0
02.03.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
02.05.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,0
02.10.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,0
02.10.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
02.11.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,0
02.11.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
02.12.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,0
02.12.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
02.13.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,0
02.13.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
02.15.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,0
02.15.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
02.16.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,0
02.16.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
02.17.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,5
02.17.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,2
02.18.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,0
02.18.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
02.19.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,7
02.22.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,0
02.23.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
02.24.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
02.24.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,32
02.25.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,165
02.25.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,1
02.26.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,15
02.26.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,2
02.27.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,15
02.27.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,2
03.01.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,255
03.01.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,3
03.02.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,35
03.02.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,3
03.03.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,4
03.03.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,1
03.04.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,0
03.05.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,13
03.05.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,1
03.08.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,16
03.08.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
03.09.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,7
03.10.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,1
03.11.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,9
03.12.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,9
03.12.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
03.13.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,5
03.15.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,9
03.15.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,3
03.15.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.16.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.16.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,4
03.16.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
03.16.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.17.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.17.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,1
03.17.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.17.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.17.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.17.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
03.17.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
03.17.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.18.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.18.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,6
03.18.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.18.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.18.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.18.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,1
03.18.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.18.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.18.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
03.19.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,3
03.20.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.20.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,1
03.20.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.20.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.20.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
03.22.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,7
03.22.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.22.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
03.22.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.22.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
03.23.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.23.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,6
03.23.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.23.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,1
03.24.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.24.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,4
03.24.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.24.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.24.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.25.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.25.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,0
03.25.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.25.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.25.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
03.26.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.26.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,0
03.26.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.26.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
03.26.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
03.29.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.29.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,0
03.30.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,1
03.30.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,5
03.30.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.30.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,14
03.30.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.30.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,100
03.30.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,1
03.31.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,4
03.31.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,22
03.31.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
03.31.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,5
03.31.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,3
03.31.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,1
03.31.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,44
03.31.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,2
03.31.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,6
04.01.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
04.01.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,3
04.01.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,healthcare worker,12
04.01.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
04.01.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,12
04.01.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,1
04.01.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,general and vulnerable,66
04.01.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,1
04.01.2021,74,7401,SULAWESI TENGGARA,KAB. BUTON,public servant,0
