date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,3rd_dose
01.13.2021,36,3601,BANTEN,KAB. PANDEGLANG,elderly,0
01.13.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
01.13.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.14.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
01.14.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.15.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.16.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
01.18.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.22.2021,36,3601,BANTEN,KAB. PANDEGLANG,age 12-17 yo,0
01.22.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
01.22.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.22.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.24.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
01.25.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
01.25.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
01.25.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
01.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
01.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
01.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
01.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
01.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.27.2021,36,3601,BANTEN,KAB. PANDEGLANG,elderly,0
01.27.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
01.27.2021,36,3601,BANTEN,KAB. PANDEGLANG,age 12-17 yo,0
01.27.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
01.27.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
01.27.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.28.2021,36,3601,BANTEN,KAB. PANDEGLANG,elderly,0
01.28.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
01.28.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
01.28.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.29.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
01.29.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.30.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
01.30.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
01.30.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
01.31.2021,36,3601,BANTEN,KAB. PANDEGLANG,children,0
01.31.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.01.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.01.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.01.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.01.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.03.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.03.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.04.2021,36,3601,BANTEN,KAB. PANDEGLANG,elderly,0
02.04.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.04.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.05.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.05.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.05.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.05.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.06.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.08.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.08.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.08.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.08.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.09.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.09.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.09.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.09.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.09.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,1
02.09.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.09.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.10.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.10.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.10.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.10.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.11.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.11.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.11.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.12.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.12.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.13.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.13.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.14.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.15.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.15.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.15.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.16.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.16.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.16.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.17.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.17.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.17.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.18.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.18.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.18.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.18.2021,36,3601,BANTEN,KAB. PANDEGLANG,age 12-17 yo,0
02.18.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.18.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.19.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.19.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.19.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.20.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.22.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.22.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.22.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.22.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.23.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.23.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.23.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.23.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.23.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.23.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.23.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.24.2021,36,3601,BANTEN,KAB. PANDEGLANG,elderly,0
02.24.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.24.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.24.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.25.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.25.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.25.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.25.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.25.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.26.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
02.27.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.27.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.27.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
02.28.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
02.28.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
03.01.2021,36,3601,BANTEN,KAB. PANDEGLANG,children,0
03.01.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
03.01.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
03.01.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
03.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
03.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
03.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
03.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
03.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
03.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
03.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
03.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,healthcare worker,0
03.02.2021,36,3601,BANTEN,KAB. PANDEGLANG,general and vulnerable,0
03.03.2021,36,3601,BANTEN,KAB. PANDEGLANG,elderly,0
03.03.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
03.03.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
03.03.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
03.03.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
03.03.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
03.03.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
03.03.2021,36,3601,BANTEN,KAB. PANDEGLANG,public servant,0
