date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,3rd_dose,source
02.02.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.05.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.08.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
02.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
02.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
02.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.10.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.10.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
02.10.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
02.10.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.11.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.11.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.12.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.13.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.13.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.15.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.15.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.16.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.16.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.17.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.17.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.18.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.19.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.19.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.20.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.22.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.22.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.23.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.23.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.24.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.24.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.25.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.25.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.26.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.27.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.27.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
03.01.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
03.01.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
03.02.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
03.02.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
03.03.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
03.03.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,1,https://vaksin.kemkes.go.id/#/detail_data
03.04.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
03.05.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
03.05.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
03.06.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
03.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,elderly,0,https://vaksin.kemkes.go.id/#/detail_data
03.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
03.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
03.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
03.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
03.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
03.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
03.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
03.09.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
03.10.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,elderly,0,https://vaksin.kemkes.go.id/#/detail_data
03.10.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
03.10.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
03.10.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
03.10.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
03.10.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
03.10.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
03.11.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
03.12.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
03.13.2021,65,6501,KALIMANTAN UTARA,KAB. MALINAU,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
