date,admin1_bps_code,admin2_bps_code,admin1_bps,admin2_bps,batch,3rd_dose,source
01.13.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
01.14.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
01.15.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
01.15.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
01.16.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
01.17.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
01.18.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
01.18.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
01.19.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
01.19.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
01.20.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
01.21.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
01.21.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
01.21.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
01.22.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
01.22.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
01.23.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
01.23.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
01.25.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
01.25.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
01.26.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
01.26.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
01.27.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
01.27.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
01.28.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
01.28.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
01.28.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
01.28.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
01.29.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
01.29.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
01.29.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
01.29.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
01.30.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
01.30.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
01.30.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.01.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.01.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
02.01.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.02.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.02.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.03.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.03.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
02.03.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.04.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.04.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.05.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.05.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.06.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.06.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
02.06.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.08.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.08.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.08.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
02.08.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.09.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.09.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.10.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.10.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.11.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.11.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.12.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
02.12.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.13.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.13.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.13.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,healthcare worker,0,https://vaksin.kemkes.go.id/#/detail_data
02.13.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,age 12-17 yo,0,https://vaksin.kemkes.go.id/#/detail_data
02.15.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.15.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,general and vulnerable,0,https://vaksin.kemkes.go.id/#/detail_data
02.15.2021,19,1901,KEP. BANGKA BELITUNG,KAB. BANGKA,public servant,0,https://vaksin.kemkes.go.id/#/detail_data
